Code	Clade	Order	Family	Species	Tissue Type	Include
URDJ	Basalmost angiosperms	Amborellales	Amborellaceae	Amborella trichopoda	leaves	F
WTKZ	Basalmost angiosperms	Nymphaeales	Nymphaeaceae	Nuphar advena	young leaves	F
PZRT	Basalmost angiosperms	Nymphaeales	Nymphaeaceae	Nymphaea sp.	young leaves	F
ROAP	Basalmost angiosperms	Austrobaileyales	Schisandraceae (incl. Illiciac.)	Illicium parviflorum	leaves	F
VZCI	Basalmost angiosperms	Austrobaileyales	Schisandraceae (incl. Illiciac.)	Illicium floridanum	young leaves	F
NWMY	Basalmost angiosperms	Austrobaileyales	Schisandraceae (incl. Illiciac.)	Kadsura heteroclita	leaves	F
FZJL	Basalmost angiosperms	Austrobaileyales	Austrobaileyaceae	Austrobaileya scandens	young shoot	F
NPND	Basalmost angiosperms	Ceratophyllales	Ceratophyllaceae	Ceratophyllum demersum	leaves	F
DDEV	Magnoliids	Canellales	Canellaceae	Canella winterana	young leaves	F
IFCJ	Magnoliids	Canellales	Canellaceae	Canella winterana	young leaves	F
WKSU	Magnoliids	Canellales	Winteraceae	Drimys winteri	leaves	F
WAIL	Magnoliids	Laurales	Atherospermataceae	Laurelia sempervirens		F
FALI	Magnoliids	Laurales	Calycanthaceae	Calycanthus floridus	leaves	F
WPHN	Magnoliids	Laurales	Calycanthaceae	Idiospermum australiense	young shoot	F
MAQO	Magnoliids	Laurales	Gomortegaceae	Gomortega keule		F
BSVG	Magnoliids	Laurales	Hernandiaceae	Gyrocarpus americanus	young leaves	F
BCGB	Magnoliids	Laurales	Lauraceae	Cinnamomum camphora	leaves	F
ABSS	Magnoliids	Laurales	Lauraceae	Sassafras albidum	young leaves	F
KAYP	Magnoliids	Laurales	Lauraceae	Lindera benzoin	young leaves	F
VYLQ	Magnoliids	Laurales	Lauraceae	Cassytha filiformis		F
WIGA	Magnoliids	Laurales	Lauraceae	Persea borbonia	young leaves and shoots	F
KRJP	Magnoliids	Laurales	Monimiaceae	Peumus boldus	leaves	F
YZRI	Magnoliids	Magnoliales	Annonaceae	Annona muricata	leaves	F
PSJT	Magnoliids	Magnoliales	Annonaceae	Uvaria microcarpa	young leaves	F
DHPO	Magnoliids	Magnoliales	Eupomatiaceae	Eupomatia bennettii	leaves	F
XQWC	Magnoliids	Magnoliales	Magnoliaceae	Michelia maudiae	young leaves	F
WBOD	Magnoliids	Magnoliales	Magnoliaceae	Magnolia grandiflora	leaves	F
OBPL	Magnoliids	Magnoliales	Myristicaceae	Myristica fragrans	leaves	F
PAWA	Magnoliids	Piperales	Aristolochiaceae	Aristolochia elegans	leaves	F
QDVW	Magnoliids	Piperales	Aristolochiaceae	Saruma henryi	leaves	F
MUNP	Magnoliids	Piperales	Piperaceae	Piper auritum	leaves	F
XSZI	Magnoliids	Piperales	Piperaceae	Peperomia fraseri	"flowers, stem, leaves"	F
OPDF	Magnoliids	Piperales	Saururaceae	Saururus cernuus	leaves	F
CSSK	Magnoliids	Piperales	Saururaceae	Houttuynia cordata	leaves	F
WPYJ	Magnoliids	Violales	Frankeniaceae	Frankenia laevis		F
OSHQ	Chloranthales	Chloranthales	Chloranthaceae	Sarcandra glabra	leaves	F
WZFE	Chloranthales	Chloranthales	Chloranthaceae	Ascarina rubricaulis		F
IWMW	Basal Eudicots	Buxales	Buxaceae	Buxus sempervirens	green branch with attached leaves	F
AALA	Basal Eudicots	Sabiales	Sabiaceae	Meliosma cuneifolia	leaves	F
SWOH	Basal Eudicots	Trochodendrales	Trochodendraceae	Trochodendron aralioides	young leaves and flowers	F
FAKD	Basal Eudicots	Proteales	Nelumbonaceae	Nelumbo sp.	leaves	F
GRRW	Basal Eudicots	Proteales	Proteaceae	Grevillea robusta	leaves	F
REOF	Basal Eudicots	Proteales	Proteaceae	Hakea prostrata	young roots	F
OBOJ	Basal Eudicots	Proteales	Proteaceae	Hakea prostrata	young leaves	F
SIIK	Basal Eudicots	Proteales	Proteaceae	Hakea drupacea	young shoot	F
VQFW	Basal Eudicots	Proteales	Platanaceae	Platanus occidentalis	leaves	F
WFBF	Basal Eudicots	Ranunculales	Berberidaceae	Podophyllum peltatum	leaves and root	F
YHFG	Basal Eudicots	Ranunculales	Berberidaceae	Nandina domestica	young leaves and flower buds	F
QTJY	Basal Eudicots	Ranunculales	Eupteleaceae	Euptelea pleiosperma	leaves	F
CCID	Basal Eudicots	Ranunculales	Lardizabalaceae	Akebia trifoliata	leaves	F
LVNW	Basal Eudicots	Ranunculales	Menispermaceae	Cocculus laurifolius	leaves	F
NMGG	Basal Eudicots	Ranunculales	Fumariaceae	Hypecoum procumbens		F
AUGV	Basal Eudicots	Ranunculales	Papaveraceae	Capnoides sempervirens		F
UDHA	Basal Eudicots	Ranunculales	Papaveraceae	Ceratocapnos vesicaria		F
XHKT	Basal Eudicots	Ranunculales	Papaveraceae	Sanguinaria canadensis	young shoot and flower buds	F
YDEH	Basal Eudicots	Ranunculales	Papaveraceae	Argemone mexicana	leaf	F
GOQJ	Basal Eudicots	Ranunculales	Papaveraceae	Argemone mexicana	stem	F
SMZF	Basal Eudicots	Ranunculales	Papaveraceae	Argemone mexicana	root	F
CCHG	Basal Eudicots	Ranunculales	Papaveraceae	Argemone mexicana	flower bud	F
BFMT	Basal Eudicots	Ranunculales	Papaveraceae	Argemone mexicana	developing fruit	F
UNPT	Basal Eudicots	Ranunculales	Papaveraceae	Eschscholzia californica	leaf	F
NJKC	Basal Eudicots	Ranunculales	Papaveraceae	Eschscholzia californica	stem	F
RKGT	Basal Eudicots	Ranunculales	Papaveraceae	Eschscholzia californica	root	F
TUHA	Basal Eudicots	Ranunculales	Papaveraceae	Eschscholzia californica	flower bud	F
ERXG	Basal Eudicots	Ranunculales	Papaveraceae	Eschscholzia californica	developing fruit	F
RRID	Basal Eudicots	Ranunculales	Papaveraceae	Papaver bracteatum	leaf	F
TMWO	Basal Eudicots	Ranunculales	Papaveraceae	Papaver bracteatum	bulb	F
ZSNV	Basal Eudicots	Ranunculales	Papaveraceae	Papaver bracteatum	root	F
ACYX	Basal Eudicots	Ranunculales	Papaveraceae	Papaver rhoeas	leaf	F
GMAM	Basal Eudicots	Ranunculales	Papaveraceae	Papaver rhoeas	stem	F
QZBA	Basal Eudicots	Ranunculales	Papaveraceae	Papaver rhoeas	root	F
IORZ	Basal Eudicots	Ranunculales	Papaveraceae	Papaver rhoeas	flower bud	F
MVTX	Basal Eudicots	Ranunculales	Papaveraceae	Papaver rhoeas	developing fruit	F
FNXH	Basal Eudicots	Ranunculales	Papaveraceae	Papaver setigerum	leaf	F
MLPX	Basal Eudicots	Ranunculales	Papaveraceae	Papaver setigerum	stem	F
JSVC	Basal Eudicots	Ranunculales	Papaveraceae	Papaver setigerum	root	F
STDO	Basal Eudicots	Ranunculales	Papaveraceae	Papaver setigerum	flower bud	F
EPRK	Basal Eudicots	Ranunculales	Papaveraceae	Papaver setigerum	developing fruit	F
BMRX	Basal Eudicots	Ranunculales	Papaveraceae	Papaver somniferum	leaf	F
SUFP	Basal Eudicots	Ranunculales	Papaveraceae	Papaver somniferum	stem	F
MIKW	Basal Eudicots	Ranunculales	Papaveraceae	Papaver somniferum	root	F
FPYZ	Basal Eudicots	Ranunculales	Papaveraceae	Papaver somniferum	flower bud	F
KKCW	Basal Eudicots	Ranunculales	Papaveraceae	Papaver somniferum	developing fruit	F
ZGQD	Basal Eudicots	Ranunculales	Papaveraceae	Corydalis linstowiana	leaves	F
XMVD	Basal Eudicots	Ranunculales	Papaveraceae	Chelidonium majus	leaf	F
VGHH	Basal Eudicots	Ranunculales	Ranunculaceae	Hydrastis canadensis	young shoots and flowers	F
CYVA	Basal Eudicots	Ranunculales	Ranunculaceae	Cimicifuga racemosa	root and shoot	F
ZUHO	Basal Eudicots	Ranunculales	Ranunculaceae	Anemone hupehensis	leaf	F
GBVZ	Basal Eudicots	Ranunculales	Ranunculaceae	Thalictrum thalictroides	floral buds	F
UPOG	Basal Eudicots	Ranunculales	Ranunculaceae	Anemone pulsatilla	leaf	F
XMQO	Basal Eudicots	Gunnerales	Gunneraceae	Gunnera manicata	young leaves	F
QUTB	Basal Eudicots	Berberidopsidales	Aextoxicaceae	Aextoxicon punctatum	leaves	F
HAEU	Basal Eudicots	Berberidopsidales	Berberidopsidaceae	Berberidopsis beckleri	leaves	F
EHNF	Basal Eudicots	Dilleniales	Dilleniaceae	Dillenia indica	leaves	F
OKEF	Basal Eudicots	Dilleniales	Dilleniaceae	Hibbertia grossulariifolia		F
BJKT	Core Eudicots	Caryophyllales	Aizoaceae	Delosperma echinatum	leaves and young flowers	F
GJNX	Core Eudicots	Caryophyllales	Aizoaceae	Cypselea humifusa	mature leaf	F
HZTS	Core Eudicots	Caryophyllales	Aizoaceae	Sesuvium portulacastrum	juvenile leaf	F
OPZX	Core Eudicots	Caryophyllales	Aizoaceae	Sesuvium verrucosum	mature leaf	F
ZJDK	Core Eudicots	Caryophyllales	Aizoaceae	Sesuvium verrucosum	juvenile leaf	F
QNIK	Core Eudicots	Caryophyllales	Aizoaceae	Trianthema portulacastrum	mature leaf	F
TNVE	Core Eudicots	Caryophyllales	Aizoaceae	Trianthema portulacastrum	juvenile leaf	F
BERS	Core Eudicots	Caryophyllales	Aizoaceae	Zaleya pentandra	mature leaf	F
VKOE	Core Eudicots	Caryophyllales	Amaranthaceae	Aerva lanata	mature leaf	F
EMIG	Core Eudicots	Caryophyllales	Amaranthaceae	Aerva lanata	juvenile leaf	F
MEAH	Core Eudicots	Caryophyllales	Amaranthaceae	Aerva persica	mature leaf	F
GBCQ	Core Eudicots	Caryophyllales	Amaranthaceae	Aerva persica	juvenile leaf	F
JBGU	Core Eudicots	Caryophyllales	Amaranthaceae	Amaranthus palmeri	leaves and stems	F
XSSD	Core Eudicots	Caryophyllales	Amaranthaceae	Amaranthus tricolor	"young leaves, stem, and flowers"	F
WMLW	Core Eudicots	Caryophyllales	Amaranthaceae	Amaranthus retroflexus	mature leaf	F
CUTE	Core Eudicots	Caryophyllales	Amaranthaceae	Blutaparon vermiculare	mature leaf	F
WGET	Core Eudicots	Caryophyllales	Amaranthaceae	Kochia scoparia	stem and leaves	F
BDIW	Core Eudicots	Caryophyllales	Chenopodiaceae	Atriplex hortensis	juvenile leaf	F
AKTA	Core Eudicots	Caryophyllales	Chenopodiaceae	Atriplex hortensis	mature leaf	F
EPVF	Core Eudicots	Caryophyllales	Chenopodiaceae	Atriplex prostrata	mature leaf	F
MUCT	Core Eudicots	Caryophyllales	Chenopodiaceae	Atriplex prostrata	juvenile leaf	F
PDXY	Core Eudicots	Caryophyllales	Chenopodiaceae	Atriplex rosea	mature leaf	F
