id,Clade,name,ver6.1,ver3.1,Note,Reference
Mp1g12420,DOXC19,MpDOXC3,Mp1g12420,Mapoly0019s0012,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g01130,DOXC19,MpDOXC29,Mp6g01130,Mapoly0052s0091,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g01140,DOXC19,MpDOXC30,Mp6g01140,Mapoly0052s0090,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g11480,DOXC19,MpDOXC33,Mp6g11480,Mapoly0016s0187,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g19000,DOXC19,MpDOXC35,Mp6g19000,Mapoly0038s0110,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g23460,DOXC21,MpDOXC10,Mp2g23460,Mapoly0191s0006,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g11120,DOXC23,MpDOXC26,Mp4g11120,Mapoly0011s0097,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g04060,DOXC24,MpDOXC23,Mp4g04060,Mapoly0044s0067,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp4g17030,DOXC24,MpDOXC27,Mp4g17030,Mapoly0148s0017,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp1g26540,DOXC28,MpF3H|MpDOXC4,Mp1g26540,Mapoly0002s0224,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp1g06210,DOXC45,MpDOXC1,Mp1g06210,Mapoly0043s0013,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g23050,DOXC6,MpDOX9,Mp2g23050,Mapoly0072s0026,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp6g12220,DOXC6,MpDOX34,Mp6g12220,Mapoly0135s0014,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g01670,MpClade1,MpDOXC6,Mp2g01670,Mapoly0180s0025,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g20900,MpClade1,MpDOXC8,Mp2g20900,Mapoly0040s0122,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g25530,MpClade1,MpDOXC11,Mp2g25530,Mapoly0025s0125,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g25540,MpClade1,MpDOXC12,Mp2g25540,Mapoly0025s0124,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mapoly0025s0107,MpClade1,MpDOXC13,-,Mapoly0025s0107,Fragment,Blast by Rui Sun
Mp3g11060,MpClade1,MpDOXC15,Mp3g11060,Mapoly0037s0090,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g11070,MpClade1,MpDOXC16,Mp3g11070,Mapoly0037s0089,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g11090,MpClade1,MpDOXC17,Mp3g11090,Mapoly0037s0088,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g11110,MpClade1,MpDOXC18,Mp3g11110,Mapoly0037s0086,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g16920,MpClade1,MpDOXC19,Mp3g16920,Mapoly0039s0103,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp3g19700,MpClade1,MpDOXC21,Mp3g19700,Mapoly0049s0064,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
