id,Clade,name,ver6.1,ver3.1,Note,Reference
Mp6g17810,Mp-specific,MpUGT29,-,Mapoly0145s0005,,Pfam annotation by InterProScan
Mapoly2769s0001,Mp-specific,Mapoly2769s0001,-,Mapoly2769s0001,,
Mp2g13090,Mp-specific,MpUGT1,Mp2g13090,Mapoly0026s0063,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g13180,Mp-specific,MpUGT2,Mp2g13180,Mapoly0026s0054,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g13210,Mp-specific,MpUGT3,Mp2g13210,Mapoly0026s0051,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g15040,Mp-specific,MpUGT4,Mp2g15040,Mapoly0082s0001,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g16630,Mp-specific,MpUGT5,Mp2g16630,Mapoly0109s0001,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g16640,Mp-specific,MpUGT6,Mp2g16640,Mapoly0109s0005,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g20480,Mp-specific,MpUGT7,Mp2g20480,Mapoly0055s0001,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g21470,Mp-specific,MpUGT8,Mp2g21470,Mapoly0040s0067,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g21770,Mp-specific,MpUGT9,Mp2g21770,Mapoly0040s0038,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g22830,UGT80,MpUGT80,Mp2g22830,,,
Mp2g23890,Mp-specific,MpUGT10,Mp2g23890,Mapoly0069s0039,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
Mp2g23900,Mp-specific,MpUGT11,Mp2g23900,Mapoly0069s0040,,"Bowman, Kohchi, Yamato, et al., Cell 171(2):287-304.e15"
